date,ticker,price
11/26/12,dis,46.194738
11/27/12,dis,45.789604
11/28/12,dis,46.35491
11/29/12,dis,46.84484
11/30/12,dis,46.788308
12/03/2012,dis,46.439705
12/04/2012,dis,46.449125
12/05/2012,dis,46.722356
12/06/2012,dis,46.932818
12/07/2012,dis,47.105014
12/10/2012,dis,47.16241
12/11/2012,dis,47.334606
12/12/2012,dis,47.487668
12/13/12,dis,46.98065
12/14/12,dis,46.559725
12/17/12,dis,47.143277
12/18/12,dis,48.042522
12/19/12,dis,47.77466
12/20/12,dis,48.721736
12/21/12,dis,47.83206
12/24/12,dis,47.717264
12/26/12,dis,47.688562
12/27/12,dis,47.382437
12/28/12,dis,47.018916
12/31/12,dis,47.631166
01/02/2013,dis,48.884364
01/03/2013,dis,48.989595
01/04/2013,dis,49.927103
01/07/2013,dis,48.760003
01/08/2013,dis,48.559106
01/09/2013,dis,48.578239
01/10/2013,dis,48.587807
01/11/2013,dis,48.386914
1/14/13,dis,48.396478
1/15/13,dis,48.874799
1/16/13,dis,49.29572
1/17/13,dis,50.137565
1/18/13,dis,50.0706
1/22/13,dis,50.44369
1/23/13,dis,51.610793
1/24/13,dis,51.610793
1/25/13,dis,52.022149
1/28/13,dis,52.003016
1/29/13,dis,51.64906
1/30/13,dis,51.457731
1/31/13,dis,51.543829
02/01/2013,dis,52.223043
02/04/2013,dis,51.562962
02/05/2013,dis,51.936051
02/06/2013,dis,52.156079
02/07/2013,dis,52.003016
02/08/2013,dis,52.290008
02/11/2013,dis,52.376106
02/12/2013,dis,52.567435
2/13/13,dis,52.576999
2/14/13,dis,52.50047
2/15/13,dis,53.198818
2/19/13,dis,53.313613
2/20/13,dis,52.232608
2/21/13,dis,51.821252
2/22/13,dis,51.897785
2/25/13,dis,51.266402
2/26/13,dis,51.562962
2/27/13,dis,52.117812
2/28/13,dis,52.223043
03/01/2013,dis,52.930959
03/04/2013,dis,53.380578
03/05/2013,dis,54.031094
03/06/2013,dis,53.916298
03/07/2013,dis,53.878032
03/08/2013,dis,54.901638
03/11/2013,dis,55.159931
03/12/2013,dis,54.633779
3/13/13,dis,54.853806
3/14/13,dis,55.246029
3/15/13,dis,55.083402
3/18/13,dis,54.365921
3/19/13,dis,53.868467
3/20/13,dis,54.471148
3/21/13,dis,53.868467
3/22/13,dis,54.318086
3/25/13,dis,53.772801
3/26/13,dis,54.174592
3/27/13,dis,54.02153
3/28/13,dis,54.337219
04/01/2013,dis,54.231988
04/02/2013,dis,54.968602
04/03/2013,dis,54.767709
04/04/2013,dis,55.092967
04/05/2013,dis,55.198198
04/08/2013,dis,56.269635
04/09/2013,dis,56.57576
04/10/2013,dis,57.503703
04/11/2013,dis,57.924624
04/12/2013,dis,57.924624
4/15/13,dis,56.327035
4/16/13,dis,58.115953
4/17/13,dis,58.048988
4/18/13,dis,57.388907
4/19/13,dis,58.890833
4/22/13,dis,59.321319
4/23/13,dis,59.876173
4/24/13,dis,59.254354
4/25/13,dis,59.311754
4/26/13,dis,59.18739
4/29/13,dis,60.268395
4/30/13,dis,60.115333
05/01/2013,dis,60.469289
05/02/2013,dis,61.110241
05/03/2013,dis,61.990352
05/06/2013,dis,62.239074
05/07/2013,dis,63.205284
05/08/2013,dis,63.128751
05/09/2013,dis,63.779267
05/10/2013,dis,64.286286
5/13/13,dis,64.401085
5/14/13,dis,64.544583
5/15/13,dis,64.735908
5/16/13,dis,63.587942
5/17/13,dis,63.693173
5/20/13,dis,63.253119
5/21/13,dis,62.975692
5/22/13,dis,62.726963
5/23/13,dis,62.401709
5/24/13,dis,62.65043
5/28/13,dis,63.798404
5/29/13,dis,63.387048
5/30/13,dis,61.846855
5/31/13,dis,60.344928
06/03/2013,dis,61.033708
06/04/2013,dis,61.55986
06/05/2013,dis,60.383191
06/06/2013,dis,60.402325
06/07/2013,dis,62.03818
06/10/2013,dis,61.062409
06/11/2013,dis,61.033708
06/12/2013,dis,60.258831
6/13/13,dis,61.512032
6/14/13,dis,61.033708
6/17/13,dis,61.693789
6/18/13,dis,62.459105
6/19/13,dis,61.54073
6/20/13,dis,59.292621
6/21/13,dis,60.010102
6/24/13,dis,59.732675
6/25/13,dis,59.857039
6/26/13,dis,60.469289
6/27/13,dis,60.957178
6/28/13,dis,60.411893
07/01/2013,dis,61.158072
07/02/2013,dis,60.517121
07/03/2013,dis,60.851947
07/05/2013,dis,61.052841
07/08/2013,dis,61.904251
07/09/2013,dis,62.124282
07/10/2013,dis,62.095584
07/11/2013,dis,63.693173
07/12/2013,dis,64.075831
7/15/13,dis,63.071354
7/16/13,dis,62.210376
7/17/13,dis,62.526069
7/18/13,dis,62.966123
7/19/13,dis,62.334744
7/22/13,dis,61.607695
7/23/13,dis,61.655522
7/24/13,dis,61.837286
7/25/13,dis,61.751192
7/26/13,dis,62.162548
7/29/13,dis,61.808588
7/30/13,dis,61.397232
7/31/13,dis,61.846855
08/01/2013,dis,62.526069
08/02/2013,dis,63.626208
08/05/2013,dis,63.157449
08/06/2013,dis,64.142795
08/07/2013,dis,63.052225
08/08/2013,dis,62.899159
08/09/2013,dis,61.923388
08/12/2013,dis,61.158072
8/13/13,dis,61.205903
8/14/13,dis,61.18677
8/15/13,dis,59.675279
8/16/13,dis,59.474381
8/19/13,dis,59.149127
8/20/13,dis,59.196958
8/21/13,dis,58.489042
8/22/13,dis,58.967363
8/23/13,dis,59.053461
8/26/13,dis,58.689936
8/27/13,dis,58.058553
